EmployeeID,Department,Role,Age,ExperienceYears,AnnualSalary,PerformanceRating,PrimarySkill,JoinDate,ExitDate,TrainingStatus
1001,Operations,Operations Analyst,30,4,596316,4,SQL,2021-02-21,,Not Started
1002,Operations,Process Analyst,24,1,548246,3,Python,2021-06-28,,Not Started
1003,Customer Service,Customer Support Analyst,43,12,1021412,4,Python,2024-02-24,,In Progress
1004,Customer Service,Team Lead,47,3,1182052,4,Power BI,2025-07-16,,In Progress
1005,HR,HRBP,26,2,848382,2,Power BI,2026-05-15,,In Progress
1006,Customer Service,Team Lead,40,2,846922,2,Workday,2025-07-11,,In Progress
1007,Operations,Process Analyst,41,4,1188797,2,SQL,2025-12-19,,Not Started
1008,HR,Recruiter,26,7,741476,4,Data Visualization,2021-06-13,,In Progress
1009,HR,Recruiter,31,12,1166751,4,SQL,2022-12-29,,Not Started
1010,Operations,Operations Analyst,28,8,847887,3,Data Visualization,2023-12-30,,Not Started
1011,Customer Service,Customer Support Analyst,47,1,690174,5,SQL,2024-11-03,,In Progress
1012,Supply Chain,Planner,41,12,779963,3,Data Visualization,2021-05-16,,In Progress
1013,Supply Chain,Operations Analyst,27,4,1231177,4,Workday,2023-07-29,,In Progress
1014,Operations,Process Analyst,35,6,679974,3,Workday,2023-05-28,,In Progress
1015,Technology,Data Analyst,28,11,892666,4,SQL,2025-10-30,,In Progress
1016,Supply Chain,Operations Analyst,40,1,1163328,4,SQL,2023-08-17,,Not Started
1017,Customer Service,Team Lead,26,5,905884,3,Excel,2025-04-24,,Completed
1018,Operations,Process Analyst,47,3,982342,2,Data Visualization,2022-06-24,,In Progress
1019,Operations,Process Analyst,34,3,1015579,5,Workday,2024-06-01,,Completed
1020,Customer Service,Team Lead,48,5,701083,2,Python,2023-09-28,2026-04-08,Not Started
1021,Technology,Data Analyst,25,9,1253035,3,Python,2025-02-07,,Not Started
1022,Supply Chain,Operations Analyst,42,7,672086,4,Data Visualization,2021-12-05,,Not Started
1023,HR,Recruiter,43,6,909381,4,Excel,2023-03-29,,Completed
1024,HR,HRBP,41,9,691292,4,Python,2021-05-12,,Completed
1025,Technology,Data Analyst,33,2,989131,3,Power BI,2022-04-14,2022-12-14,Not Started
1026,Supply Chain,Supply Chain Analyst,41,10,945631,3,Excel,2024-01-10,,In Progress
1027,HR,HR Analyst,34,7,881071,4,Data Visualization,2021-07-18,,Completed
1028,Operations,Process Analyst,46,6,1289482,5,SQL,2024-08-16,,Completed
1029,HR,HRBP,36,3,742075,4,Python,2024-01-04,,Completed
1030,Supply Chain,Operations Analyst,23,2,1240170,5,Python,2021-07-20,2025-01-27,Completed
1031,Supply Chain,Planner,35,1,622634,4,SQL,2023-09-13,,In Progress
1032,Finance,Accountant,46,9,1144022,4,Excel,2022-08-08,,Completed
1033,HR,Recruiter,41,12,1018532,2,Data Visualization,2022-03-22,,In Progress
1034,Technology,Data Analyst,39,3,509642,4,SQL,2024-04-11,,Completed
1035,Technology,Data Analyst,35,2,1383533,4,Python,2024-10-14,,Not Started
1036,Customer Service,Customer Support Analyst,41,9,781737,3,Python,2024-06-22,,Not Started
1037,Operations,Operations Specialist,27,11,1126856,3,Excel,2022-05-04,,In Progress
1038,Technology,Data Analyst,41,2,526819,4,Python,2023-07-28,,Not Started
1039,Finance,Financial Analyst,25,4,837477,3,Python,2026-03-27,,In Progress
1040,Customer Service,Service Analyst,48,11,1004634,2,Data Visualization,2022-09-12,,Not Started
1041,Finance,FP&A Analyst,27,5,571035,2,Data Visualization,2021-08-01,,Not Started
1042,HR,Recruiter,45,6,663487,4,Data Visualization,2022-08-01,,In Progress
1043,Customer Service,Team Lead,24,2,1115095,4,Power BI,2022-05-30,,Completed
1044,Technology,BI Analyst,31,3,1227236,4,Workday,2025-04-29,,Not Started
1045,Supply Chain,Operations Analyst,40,1,1325136,3,Workday,2021-01-20,2022-05-20,Not Started
1046,HR,L&D Specialist,48,1,1392590,3,Python,2021-09-19,2024-04-02,Not Started
